artist_author,unique_words,category,era_origin,notable_work
Aesop Rock,7392,Underground / Abstract Hip-Hop,1990s-Present,None Shall Pass / Labor Days
GZA (Wu-Tang Clan),6426,Golden Era / East Coast,1990s,Liquid Swords
Kool Keith / Dr. Octagon,6238,Underground / Surrealist,1990s-Present,Dr. Octagonecologyst
MF DOOM,6169,Underground / Complex Rhyme,1990s-2010s,Madvillainy / Operation: Doomsday
Jean Grae,6120,Underground / Complex Multi-Rhyme,1990s-Present,Attack of the Attacking Things / Jeanius
Herman Melville,6022,Classical Literary Canon,1850s,Moby Dick (First 35k words)
Canibus,5991,Battle / Technical Lyricism,1990s-2000s,Rip the Jacker
Toni Morrison,5890,Classical Literary Canon,1970s-2000s,Beloved / Song of Solomon (First 35k words)
The Roots / Black Thought,5803,East Coast / Live Instrumentation,1990s-Present,Things Fall Apart / Game Theory
Ghostface Killah,5774,Golden Era / Wu-Tang Clan,1990s-Present,Supreme Clientele
Raekwon,5489,Golden Era / Wu-Tang Clan,1990s-Present,Only Built 4 Cuban Linx
Sa-Roc,5420,Underground / Conscious Technical,2010s-Present,The Sharecropper's Daughter
Zora Neale Hurston,5310,Classical Literary Canon,1930s,Their Eyes Were Watching God / Mules and Men
Rapsody,5280,East Coast / Narrative Lyricism,2010s-Present,Laila's Wisdom / Eve
OutKast (Andre 3000 / Big Boi),5212,Southern / Narrative Hip-Hop,1990s-2000s,Aquemini / ATLiens
William Shakespeare,5170,Classical Literary Canon,1590s-1610s,Sonnets & Plays (First 35k words)
Kendrick Lamar,5100,Modern West Coast / Conceptual,2010s-Present,To Pimp a Butterfly / good kid
Common,5098,Midwest / Conscious Hip-Hop,1990s-2000s,Be / Like Water for Chocolate
Nas,5050,Golden Era / East Coast,1990s-Present,Illmatic / It Was Written
Little Simz,4960,UK / Conceptual Orchestral Hip-Hop,2010s-Present,Sometimes I Might Be Introvert / GREY Area
Redman,4920,East Coast / Funk Hip-Hop,1990s-2000s,Muddy Waters
Mos Def / Yasiin Bey,4880,East Coast / Conscious Hip-Hop,1990s-Present,Black on Both Sides
Lauryn Hill,4830,East Coast / Soul & Hip-Hop,1990s,The Miseducation of Lauryn Hill / The Score
Lupe Fiasco,4820,Midwest / Concept Lyricism,2000s-Present,Food & Liquor / Tetsuo & Youth
Busta Rhymes,4780,East Coast / High Cadence,1990s-Present,The Coming / ELE
Jay-Z,4509,East Coast / Mainstream Titan,1990s-Present,Reasonable Doubt / The Blueprint
Eminem,4494,Midwest / Technical Multi-Rhyme,1990s-Present,The Marshall Mathers LP
Queen Latifah,4480,Golden Era / East Coast,1980s-1990s,All Hail the Queen / Nature of a Sista
Ice Cube,4450,West Coast / Gangsta Rap,1980s-1990s,AmeriKKKa's Most Wanted
MC Lyte,4410,Golden Era / East Coast,1980s-1990s,Lyte as a Rock / Ain't No Other
Noname,4390,Midwest / Poetic Jazz Rap,2010s-Present,Telefone / Room 25
Missy Elliott,4150,Southern / Avant-Garde & Sonic Innovation,1990s-2000s,Supa Dupa Fly / Miss E... So Addictive
Snoop Dogg,3974,West Coast / G-Funk,1990s-Present,Doggystyle
Tupac Shakur (2Pac),3970,West Coast / Political & Emotional,1990s,Me Against the World / All Eyez on Me
Kanye West,3950,Midwest / Pop & Art Rap,2000s-Present,The College Dropout / MBDTF
Roxanne Shanté,3890,Golden Era / Battle Pioneer,1980s,Bad Sister / Roxanne's Revenge
Lil Wayne,3743,Southern / Wordplay & Mixtape,1990s-Present,Tha Carter II & III / Da Drought
50 Cent,3591,East Coast / Commercial Titan,2000s,Get Rich or Die Tryin'
Drake,3522,Modern Pop / Melodic Rap,2010s-Present,Take Care / Nothing Was the Same
DMX,3214,East Coast / Raw Delivery,1990s-2000s,It's Dark and Hell Is Hot
